genotype,replicate,time,value,file,sheet,assay
Sucnr1fl/fl,1,0.0,162.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,2,0.0,184.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,3,0.0,199.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,4,0.0,172.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,5,0.0,222.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,6,0.0,238.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,1,0.0,199.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,2,0.0,182.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,3,0.0,185.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,1,0.08333333333333333,490.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,2,0.08333333333333333,484.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,3,0.08333333333333333,441.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,4,0.08333333333333333,418.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,5,0.08333333333333333,315.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,6,0.08333333333333333,479.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,1,0.08333333333333333,425.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,2,0.08333333333333333,473.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,3,0.08333333333333333,502.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,1,0.25,404.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,2,0.25,456.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,3,0.25,449.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,4,0.25,415.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,5,0.25,193.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,6,0.25,393.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,1,0.25,382.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,2,0.25,382.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,3,0.25,384.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,1,0.5,229.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,2,0.5,276.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,3,0.5,250.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,4,0.5,272.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,5,0.5,225.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,6,0.5,256.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,1,0.5,247.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,2,0.5,255.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,3,0.5,215.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,1,2.0,171.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,2,2.0,196.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,3,2.0,210.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,4,2.0,210.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,5,2.0,209.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,6,2.0,210.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,1,2.0,194.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,2,2.0,188.0,aec8873_data_s2.xlsx,F2D,GTT
Hep-Sucnr1 KO,3,2.0,206.0,aec8873_data_s2.xlsx,F2D,GTT
Sucnr1fl/fl,1,0.0,201.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,2,0.0,188.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,3,0.0,195.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,4,0.0,203.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,1,0.0,168.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,2,0.0,168.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,3,0.0,176.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,4,0.0,194.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,1,0.25,455.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,2,0.25,484.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,3,0.25,436.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,4,0.25,434.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,1,0.25,538.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,2,0.25,453.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,3,0.25,453.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Hep-Sucnr1 KO,4,0.25,461.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,1,0.5,362.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,2,0.5,308.0,aec8873_data_s9.xlsx,SF4B,GTT_female
Sucnr1fl/fl,3,0.5,383.0,aec8873_data_s9.xlsx,SF4B,GTT_female
