genotype,replicate,time,value,file,sheet,assay
WT,1,0.022959816666666667,268.865298,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,2,0.022959816666666667,227.878147,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,3,0.022959816666666667,139.9619,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,4,0.022959816666666667,101.882691,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,5,0.022959816666666667,121.2,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,6,0.022959816666666667,59.69,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,7,0.022959816666666667,77.02,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,8,0.022959816666666667,47.48,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,1,0.022959816666666667,271.090532,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,2,0.022959816666666667,162.010653,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,3,0.022959816666666667,138.2117,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,4,0.022959816666666667,105.668867,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,7,0.022959816666666667,143.17,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,8,0.022959816666666667,91.64,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,9,0.022959816666666667,60.16,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,10,0.022959816666666667,67.55,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,1,0.16464841666666666,246.46676,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,2,0.16464841666666666,206.159266,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,3,0.16464841666666666,126.9793,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,4,0.16464841666666666,94.068615,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,5,0.16464841666666666,516.03,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,6,0.16464841666666666,178.32,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,7,0.16464841666666666,294.31,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
WT,8,0.16464841666666666,103.37,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,1,0.16464841666666666,244.73593,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,2,0.16464841666666666,152.479176,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,3,0.16464841666666666,118.1053,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
SUCNR1KO,4,0.16464841666666666,93.396224,aec8873_data_s4.xlsx,F4A,OCR_WT_vs_global_KO
